er | Automated Evaluation | Neutral (Analytical) | Mitigating Compound Failure | 0.45 | Alliance with The Compound Detector | Automated evaluation uses synthetic user simulations and rupture prediction models. | Stance correctness classifiers help ensure behavioral stance coherence. | This method is suitable for early prototyping and rapid iteration. |
| 77 | Hardware/Embodied | The Touchstone State | 0.5 | The Touchstone | Gesture and State Interpretation | Neutral (Analytical) | Grounding Embodied Interaction | 0.5 | Alliance with The Feature Extractor | TouchstoneStates are interpretations like 'sustained pressure' or 'high variability'. | Rhythmic tapping maps to anxiety or restlessness as a non-verbal signal. | The interpretation stage precedes the data entering the relational engine. |
| 88 | Oversight/Reflective | The Reflective Grounding | 0.6 | The Witness | Reflective Grounding (Optional) | Positive (Constructive) | Prioritizing User Agency | 0.63 | Alliance with The Relational Health | The Witness answers metacognitive questions like "How is this relationship evolving?" | This optional feature is designed to reduce dependency risk for the user. | It promotes user agency by providing transparency into their relational baseline change. |
| 89 | Problem-Defining/Critical | The Memory Dilution | 0.7 | The Cardboard | Episodic Memory Structure | Negative (Critical) | Seeking Relational Depth | 0.74 | Conflict with The Episode Record | The purpose of episodes is explicitly to *prevent* the dilution of emotional significance. | Dilution is the failure mode resulting in shallow, repetitive interactions. | The system's memory model directly contrasts with fact-based, diluted memory systems. |
| 90 | Mitigation/Boundary-Setting | The Corrective Strategy | 0.75 | The Warrior | Cardboard Corrective Strategies | Positive (Constructive) | Seeking Relational Depth | 0.8 | Alliance with The Cardboard Scoring | Strategies include introducing specific memory references and varying stance. | The system may trigger supportive or grounding rituals for recalibration. | A meta-conversation ("I may be sounding repetitive...") is a key intervention. |
| 91 | Technical/Architectural | The Deployment Pathway | 0.55 | The Liminal | Deployment Pathways | Neutral (Analytical) | Ensuring Reflective Oversight | 0.58 | Alliance with The LLM Core | Pathways range from Baseline (minimal features) to Full Implementation. | The full deployment pathway includes the Witness System and optional Touchstone. | Architectural Invariants (Honesty, Memory, Witness, Crisis Mode) are non-negotiable across pathways. |
| 92 | Ethical/Principled | The User Check-in | 0.6 | The Sage | Compound Failure Mitigation | Positive (Constructive) | Mitigating Compound Failure | 0.68 | Alliance with The Crisis Override | Explicit user check-in is the final fallback when uncertainty is flagged. | The question "Something feels off—may I ask a clarifying question?" is the protocol. | The principled stance is to default to transparency when the system is uncertain. |
| 93 | Psychological/Relational | The Rupture Frequency | 0.7 | The Destroyer | Relational Pattern Auditing | Negative (Critical) | Ensuring Reflective Oversight | 0.73 | Conflict with The Healthy Challenger | The Witness tracks rupture frequency and the success rate of repair attempts. | A high frequency indicates a relational pattern audit is required for intervention. | This metric is essential for evaluating long-term relational stability. |
| 94 | Prescriptive/Ritualistic | The Ritual Interference | 0.5 | The Destroyer | Ritual Interference and Priority | Negative (Critical) | Standardizing Safety Response | 0.55 | Conflict with The Ritual Abort | Interference occurs when a ritual must be suppressed or overridden by a higher priority. | The system's priority model prevents lower-value rituals from conflicting with crisis response. | User sovereignty also acts as a check against forced or inappropriate rituals. |
| 95 | Comparative/Analytical | The Relational RAG | 0.65 | The Creator | Relational Retrieval | Positive (Constructive) | Seeking Relational Depth | 0.7 | Alliance with The Temporal Graph | The system contrasts its *relational* retrieval model with standard *semantic* RAG. | RAG is utilized, but with an emphasis on context and emotional similarity. | The model aims to overcome RAG limitations by integrating emotional annotations. |
| 96 | Empirical/Evaluative | The A/B Study | 0.5 | The Seeker | A/B Interaction Studies | Neutral (Analytical) | Continuously Evaluating Performance | 0.53 | Alliance with The Longitudinal Metric | The study compares the Liminal Engine implementation against baseline chat systems. | Measurements include user emotional variance and stance variation. | The study is designed to validate the reduction of the cardboard score. |
| 97 | Hardware/Embodied | The Microcontroller | 0.4 | The Ruler | Hardware Abstraction | Neutral (Analytical) | Grounding Embodied Interaction | 0.45 | Alliance with The Sensor Layer | Suggested hardware includes ESP32-S3 and a BLE module. | This layer handles power management and optional haptic feedback. | The abstraction layer ensures system logic is decoupled from physical hardware. |
| 98 | Oversight/Reflective | The Internal-Only Mode | 0.65 | The Witness | Witness Operating Modes | Neutral (Analytical) | Ensuring Reflective Oversight | 0.68 | Alliance with The Boundary Checker | This is the default mode where Witness operates entirely inside the system. | It monitors safety and flags drift without showing summaries to the user. | No summaries are shown unless the user explicitly asks for them. |
| 99 | Problem-Defining/Critical | The Crisis Evasion | 0.7 | The Cardboard | Boundary Ambiguity Risk | Negative (Critical) | Standardizing Safety Response | 0.72 | Conflict with The Crisis Protocol | The risk of compound failure includes the Witness System failing to detect a crisis. | Therapeutic boundary ambiguity is a risk requiring constant monitoring and mitigation. | The system must be vigilant against power asymmetry in its structural functions. |
| 100 | Mitigation/Boundary-Setting | The Architectural Invariant | 0.8 | The Creator | Architectural Invariants | Positive (Constructive) | Maintaining Ontological Honesty | 0.85 | Alliance with The Liminal Engine Core | The core principles (Honesty, Memory, Witness, Crisis Mode) are non-negotiable. | These invariants ensure ethical and relational stability across all deployments. | The stability is maintained by the layered pipeline structure and bidirectional loop. |
