undle | 0.5 | The Ruler | User Input Layer | Neutral (Analytical) | Encoding Dynamic Structure | 0.52 | Alliance with The Pattern Vector | The layer's primary role is normalization, segmentation, and packaging input. | Raw text, timestamp, and optional Touchstone data are received by this layer. | It forwards context to the next layer for structured emotional analysis. |
| 52 | Ethical/Principled | The Principled Stance | 0.85 | The Sage | Ethical Stance Summary | Hyper-Positive (Utopian) | Maintaining Ontological Honesty | 0.9 | Alliance with The User Sovereign | Ethical tensions are acknowledged, structured, constrained, and monitored. | The stance emphasizes transparency, ritualized grounding, and crisis safeguards. | The framework summary recognizes its limitations and ongoing responsibilities. |
| 63 | Psychological/Relational | The Pattern Auditing | 0.65 | The Lover | Relational Pattern Auditing | Positive (Constructive) | Ensuring Reflective Oversight | 0.68 | Alliance with The Relational Health | The Witness tracks emotional arcs and stance drift across episode boundaries. | Auditing monitors ritual performance trends and cardboard score trendlines. | The function ensures that the relationship is evolving in a healthy manner. |
| 64 | Prescriptive/Ritualistic | The Sacred Object | 0.55 | The Touchstone | Sacred Object Perspective | Positive (Constructive) | Grounding Embodied Interaction | 0.58 | Alliance with The Embodied Anchor | The Touchstone is viewed as a symbolic object for ritual enhancement. | This optional layer provides a physical substrate for intention-setting moments. | It is a conceptual component that integrates psychological and hardware layers. |
| 65 | Comparative/Analytical | The Foundational Theory | 0.45 | The Seeker | Foundational Theory (Liminality) | Neutral (Analytical) | Continuously Evaluating Performance | 0.48 | Alliance with The Liminal Engine Core | The framework is built on Liminality, Attachment Theory, and Depth Psychology. | This comparison section contrasts the model's depth with commercial systems' shallowness. | The foundational theory guides the rupture/repair and ritual formalization. |
| 66 | Empirical/Evaluative | The Cross-Cultural Check | 0.5 | The Seeker | Cross-Cultural Evaluation | Positive (Constructive) | Mitigating Compound Failure | 0.55 | Alliance with The Evaluation Hypothesis | Evaluation considers cultural emotional baselines and ritual appropriateness. | The system must adapt to diverse relational norms and emotional expression patterns. | Mitigation includes adaptive emotional baselines for global deployment. |
| 67 | Hardware/Embodied | The Feature Extractor | 0.6 | The Creator | Signal Processing Pipeline | Neutral (Analytical) | Encoding Dynamic Structure | 0.62 | Alliance with The Gesture Interpreter | This stage derives mean\_pressure and pressure\_variability from raw samples. | The resulting vector summarizes the 'shape' of tactile contact. | The features are used by the emotional annotation pipeline for inference. |
| 68 | Oversight/Reflective | The Drift Flag | 0.7 | The Witness | Stance Drift Monitoring | Negative (Critical) | Ensuring Reflective Oversight | 0.75 | Conflict with The Stance Controller | The Witness System flags inappropriate stance shifts and stance monotony. | Stance drift is an auditable pattern, alongside emotional volatility. | When drift is detected, the Witness adjusts stance parameters indirectly. |
| 69 | Problem-Defining/Critical | The Cardboard Monotony | 0.8 | The Cardboard | Cardboard Score Formula | Negative (Critical) | Seeking Relational Depth | 0.82 | Conflict with The Relational Coherence | Stance monotony and phrase redundancy are weighted components of the score. | The threshold > 0.7 is the critical point for corrective action. | Low memory utilization is another key factor contributing to the problem. |
| 70 | Mitigation/Boundary-Setting | The Accessibility Default | 0.45 | The Warrior | Accessibility Evaluation | Positive (Constructive) | Prioritizing User Agency | 0.5 | Alliance with The Therapeutic Stance | The system must support users with diverse neurocognitive profiles (ADHD, autism). | Evaluation assesses sensory load and clarity of the transparency UI. | Neurodiversity-informed defaults and customizable rituals are key mitigations. |
| 71 | Technical/Architectural | The Emotional Annotator | 0.8 | The Creator | Emotional Annotation Pipeline | Neutral (Analytical) | Encoding Dynamic Structure | 0.83 | Alliance with The Emotional Sparkline | This layer sources emotional signals from text, context, and Touchstone data. | It is a critical layer for addressing the Emotional Annotation Gap. | The pipeline's output informs the Behavioral Stance Controller selection heuristics. |
| 72 | Ethical/Principled | The Ethical Tensions | 0.7 | The Destroyer | Ethical Tensions and Limitations | Negative (Critical) | Maintaining Ontological Honesty | 0.75 | Conflict with The Principled Stance | The document acknowledges that ethical tensions cannot be fully "solved." | Risks include commercial deployment risks and cultural limitations. | The focus is on structuring, constraining, and monitoring these tensions. |
| 73 | Psychological/Relational | The Outcome Valence | 0.6 | The Lover | Episode Storage Structure | Neutral (Analytical) | Encoding Dynamic Structure | 0.63 | Alliance with The Emotional Annotator | The episodic memory records the overall outcome\_valence of the interaction. | This value contributes to the pattern vector and relational health signal. | The valence is tracked alongside rupture points and repair attempts history. |
| 74 | Prescriptive/Ritualistic | The Ritual Rationale | 0.5 | The Liminal | Why “Ritual” and Not “Template” | Positive (Constructive) | Formalizing Interaction Cycles | 0.52 | Alliance with The Transformation Ritual | Rituals offer deeper symbolic meaning and structural integrity than mere templates. | The engine is formalized to prevent misuse and power asymmetry. | The rationale is tied to the concept of liminality and relational transformation. |
| 75 | Comparative/Analytical | The Evaluation Goal | 0.6 | The Seeker | Evaluation Goals | Positive (Constructive) | Continuously Evaluating Performance | 0.65 | Alliance with The Cardboard Scoring | Evaluation goals include relational coherence and ethical integrity. | A primary goal is the reduction of the Cardboard Score over time. | The study assesses user well-being and the reduction of boundary violations. |
| 76 | Empirical/Evaluative | The Automated Test | 0.4 | The Rul
