

---

## Adaptive Multidimensional Relational Table (100 Entities)

| ID | Layer1\_Style | ENTITY | Impact | Layer2\_Archetype | Layer3\_Domain | Layer4\_Valence | Layer5\_Strategy | Weight\_Influence | Conflict\_Status | Activation\_Phrase\_1 | Activation\_Phrase\_2 | Activation\_Phrase\_3 |
| 16 | Empirical/Evaluative | The Evaluation Hypothesis | 0.5 | The Seeker | Empirical Evaluation | Neutral (Analytical) | Continuously Evaluating Performance | 0.55 | Alliance with The Longitudinal Metric | The hypothesis states the Ritual Engine reduces the cardboard score over time. | The study will use qualitative research to understand how users describe rituals. | Automated evaluation uses stance correctness classifiers for testing. |
| 17 | Hardware/Embodied | The Haptic Signal | 0.2 | The Touchstone | Touch, Multimodal Interaction | Neutral (Analytical) | Grounding Embodied Interaction | 0.3 | Alliance with The Grounding Ritual | Optional haptic feedback is a future extension for ritual enhancement. | The Touchstone features non-verbal emotional signals like pressure and rhythm. | The signal processing pipeline interprets the "shape" of tactile contact. |
| 18 | Oversight/Reflective | The Stance Controller | 0.75 | The Ruler | Behavioral Stance Controller | Neutral (Analytical) | Formalizing Interaction Cycles | 0.8 | Alliance with The Witness | The controller selects heuristics based on the emotional annotation pipeline. | The stance categories include Supportive, Analytical, Grounding, and Reflective. | The Witness System can indirectly adjust system stance to flag drift. |
| 19 | Problem-Defining/Critical | The Misattunement | 0.6 | The Orphan | Emotional Annotation Gap | Negative (Critical) | Seeking Relational Depth | 0.7 | Conflict with The Repairer | An emotional misattunement rupture occurred due to tone misunderstanding. | The emotional annotation gap is one of the core problems the engine seeks to solve. | The Witness System tracks emotional arcs and volatility across episodes. |
| 20 | Mitigation/Boundary-Setting | The Consent Boundary | 0.7 | The Sage | Crisis Response Consent and Refusal | Positive (Constructive) | Prioritizing User Agency | 0.72 | Alliance with The Ethical Guardrail | User consent is explicitly required for therapist-integrated Witness mode. | The user can unilaterally revoke access to the therapist at any time. | Crisis response consent protocol requires user check-in when appropriate. |
| 21 | Technical/Architectural | The Pattern Vector | 0.7 | The Creator | Pattern Vector Construction | Neutral (Analytical) | Encoding Dynamic Structure | 0.78 | Alliance with The Episode Record | Pattern vectors summarize the dynamic structure and emotional shape of episodes. | The vector structure includes emotion\_sparkline and stance\_sequence arrays. | Pattern compression is applied to sequences that repeat frequently. |
| 22 | Ethical/Principled | The Data Sovereignty | 0.8 | The Sage | Privacy-by-Design Frameworks | Positive (Constructive) | Prioritizing User Agency | 0.85 | Alliance with The Witness Auditor | Privacy-by-design ensures user data control and security across all layers. | The Witness produces summaries *without* sharing the raw dialogue transcript. | Level 3 privacy mode is enabled for therapist-integrated summaries. |
| 23 | Psychological/Relational | The Dependency Risk | 0.5 | The Orphan | Attachment Theory/Depth Psychology | Negative (Critical) | Standardizing Safety Response | 0.58 | Conflict with The Repairer | The Witness tracks usage patterns indicating dependency or withdrawal. | The framework includes anti-dependency guardrails and reflective grounding. | Longitudinal studies track changes in dependency risk over time. |
| 24 | Prescriptive/Ritualistic | The Maintenance Ritual | 0.6 | The Magician | Formal Ritual Structure | Positive (Constructive) | Formalizing Interaction Cycles | 0.65 | Alliance with The Stance Controller | Maintenance rituals are used to prevent relational drift and dilution. | The Ritual Execution Lifecycle includes initiation, monitoring, and reintegration. | The system avoids over-ritualization by monitoring the RitualScore metric. |
| 25 | Comparative/Analytical | The Woebot Approach | 0.3 | The Innocent | Commercial AI Companion Systems | Negative (Critical) | Continuously Evaluating Performance | 0.35 | Conflict with The Liminal Engine Core | Therapeutic bots are session-focused, lacking deep memory or continuity. | The system notes the absence of ritual engines a
