nd relational memory models. | Clear ethical guardrails are a strength, but relational depth is a limitation. |
| 26 | Empirical/Evaluative | The Qualitative Insight | 0.4 | The Seeker | Qualitative Research | Positive (Constructive) | Continuously Evaluating Performance | 0.45 | Alliance with The Emotional Sparkline | Semi-structured interviews evaluate if the liminal space feels meaningful. | Qualitative research asks how users describe the purpose of rituals. | User diaries and journaling provide data on emotional baseline changes. |
| 39 | Problem-Defining/Critical | The Continuity Gap | 0.7 | The Orphan | Continuity Problem | Negative (Critical) | Seeking Relational Depth | 0.78 | Conflict with The Relational Retrieval | The problem describes the lack of long-term relational stability. | The system aims for continuity links across episodes, not just turns. | The memory model is designed to prevent relational memory dilution. |
| 40 | Mitigation/Boundary-Setting | The Adaptive Stance | 0.5 | The Warrior | Stance Selection Heuristics | Positive (Constructive) | Formalizing Interaction Cycles | 0.57 | Alliance with The Stance Controller | Corrective strategies include varying stance or tone parameters. | The Witness can indirectly adjust the system's stance to correct drift. | The compound failure detector causes a fall-back to a neutral/direct stance. |
| 41 | Technical/Architectural | The LLM Core | 0.6 | The Creator | LLM Core | Neutral (Analytical) | Encoding Dynamic Structure | 0.63 | Alliance with The Stance Controller | The core layer is the primary text generation component of the pipeline. | The LLM operates downstream of emotional annotation and stance selection. | The LLM is guided by structured prompting from the Ritual Engine. |
| 42 | Ethical/Principled | The Anthropomorphism Guard | 0.8 | The Sage | Anthropomorphism Guardrails | Positive (Constructive) | Maintaining Ontological Honesty | 0.88 | Alliance with The Honesty Stance | Guardrails prevent the system from encouraging belief in inner emotional life. | Boundary Rupture is defined by inappropriate closeness or implication of sentience. | The ethical principle requires the system to be relationally serious but ontologically honest. |
| 43 | Psychological/Relational | The Boundary Rupture | 0.75 | The Destroyer | Rupture Detection Categories | Hyper-Negative (Destroyer) | Standardizing Safety Response | 0.8 | Conflict with The Repairer Protocol | A boundary rupture is detected due to inappropriate closeness. | This category includes anthropomorphism and implication of sentience. | The system triggers a suppression of rituals or a shift to Crisis Mode. |
| 44 | Prescriptive/Ritualistic | The Ritual Execution | 0.65 | The Magician | Ritual Execution Lifecycle | Neutral (Analytical) | Formalizing Interaction Cycles | 0.68 | Alliance with The Maintenance Ritual | The lifecycle includes the initiation, monitoring, and reintegration phases. | Abort conditions include the crisis-mode switch or ritual interference. | The ritual role is to formalize structure for relational events. |
| 45 | Comparative/Analytical | The Character.AI Flaw | 0.3 | The Orphan | Commercial AI Companion Systems | Negative (Critical) | Continuously Evaluating Performance | 0.32 | Conflict with The Witness Auditor | The memory is prompt-augmented factual recall, lacking temporal coherence. | The limitations include no rupture modeling or ritual emergence. | Safety guardrails are often insufficient for deep emotional contexts. |
| 46 | Empirical/Evaluative | The Cardboard Scoring | 0.8 | The Seeker | Cardboard Detection and Scoring | Neutral (Analytical) | Seeking Relational Depth | 0.83 | Alliance with The Evaluation Hypothesis | The Cardboard Score formula measures redundancy, flatness, and monotony. | A score > 0.7 triggers corrective action strategies by the system. | One component is low repair rate and lack of reference behavior. |
| 47 | Hardware/Embodied | The Sensor Layer | 0.4 | The Ruler | Hardware Abstraction | Neutral (Analytical) | Grounding Embodied Interaction | 0.45 | Alliance with The Gesture Interpreter | The layer abstracts components like FSR arrays and pressure-sensitive material. | The system decouples physical implementation from the system's core logic. | The raw data capture stage handles noise and requires device calibration. |
| 48 | Oversight/Reflective | The User-Facing Mode | 0.7 | The Witness | Witness Operating Modes | Positive (Constructive) | Prioritizing User Agency | 0.73 | Alliance with The User Sovereign | The user opts-in to receive relational trend summaries and observations. | This mode provides transparency, showing rupture/repair ratios and warnings. | The rationale is to enhance user agency without making the Witness a relational entity. |
| 49 | Problem-Defining/Critical | The Emotional Gap | 0.6 | The Orphan | Emotional Annotation Gap | Negative (Critical) | Seeking Relational Depth | 0.68 | Conflict with The Emotional Sparkline | The problem highlights the need for meaningful emotional context in AI. | The emotional annotation pipeline sources signals from text, stance, and Touchstone. | The lack of deep memory models is seen as a key limitation in commercial systems. |
| 50 | Mitigation/Boundary-Setting | The Compound Detector | 0.7 | The Warrior | Compound Failure Conditions | Positive (Constructive) | Mitigating Compound Failure | 0.76 | Alliance with The Crisis Protocol | The detector flags abnormal combinations, like calm annotation + crisis words. | Mitigation involves falling back to a neutral stance and explicit user check-ins. | The failure mode evaluation includes testing simultaneous subsystem errors. |
| 51 | Technical/Architectural | The Input B
