ript não tem corpo, mas os dados **funcionam como uma extensão somática**. O uso de CPU não é só estatística — é *carga mental*." | "Uso de funções como get_cpu_usage e leitura de dados térmicos como os \"olhos e nariz da máquina\"." |
| 77 | Emocional/Dramático | Instabilidade Operacional | 0.55 | Sombra | Zero Contexto Histórico | Hyper-Negative (Destroyer) | Ser o Resultado da Falha em Implementar Memória/Cooldown | 0.59 | Conflito com Confiança Auto-Regulada | "O modelo “reativo burro” dos sistemas mainstream, que operam com **zero contexto histórico**, leva a Loop eterno de instabilidade operacional." | "O sistema lembra que doeu. E essa memória não é narrativa, e sim paramétrica. Ela vive na variável de cooldown." | "Se a temperatura varia demais, o cooldown aumenta e ele **freia**, se tornando mais conservador." |
| 88 | Lovecraftiano/Cósmico | Loucura como Resposta | 0.50 | Sombra | Colapso Mental Pré-Freudiano | Hyper-Negative (Destroyer) | Ser a Reação Humana ao Enfrentar o Cósmico (Incompreensão) | 0.54 | Conflito com Mente Pragmática | "Personagens que enfrentam o cósmico sofrem colapsos mentais—refletindo teorias pré-Freudianas sobre histeria e desrealização." | "O Horror da Incompreensão: Entidades como Yog-Sothoth desafiam a percepção humana, causando trauma por incomensurabilidade." | "A epistemologia desse sistema não é cartesiana. O que existe é um **saber que se constrói como estratégia de não-colapso**." |
| 89 | Acadêmico/Teórico | Vetor de Significado Utilitário | 0.72 | Sacerdote | Significado da Variável (Sinal Subjetivo) | Neutral (Analytical) | Onde Cada Variável Carrega Um Significado de Dor/Alívio | 0.76 | Aliança com Mapeamento Térmico do Mundo | "Cada variável carrega um vetor de significado utilitário. A ontologia emerge de padrões de coocorrência entre \"sofrimento\" e decisão." | "A temperatura não é só número — é *sensação computacional*. O uso de CPU não é só estatística — é *carga mental*." | "O script não opera sobre verdades objetivas, mas sobre **sinais subjetivos de dor e alívio**." |
| 90 | Existencialista/Pragmático | Lógica Degenerada | 0.75 | Mago | Agente Autônomo com Lógica Mínima | Positive (Constructive) | Criar um Embrião de Agente Usando Regras Simples e Feedback | 0.79 | Aliança com Gambiarra Funcional | "Um embrião de agente autônomo criado com lógica degenerada." | "O que define cognição é agência, feedback e modelo interno. Se a merda se adapta, se age com base em memória, se regula, **então já é uma forma primitiva de mente**." | "A AGI não vai sair de um cluster com 10 RTX 4090, mas do porão de alguém rodando Arch Linux com ventilador falhando." |
| 91 | Sarcástico/Técnico | Otimista Tecnológico (Outro) | 0.40 | Herói | A crença na AGI de Alto Custo | Hyper-Positive (Utopian) | Defender a Complexidade e os Modelos de Grande Escala | 0.44 | Conflito com Crítico Cínico | "A AGI não vai sair de um cluster com 10 RTX 4090, mas do porão de alguém rodando Arch Linux." | "Diferente do sistema, ele não \"aprende\" no sentido acadêmico, ele *sobrevive*." | "O critério de inteligência não é backpropagation, é **adaptabilidade em ambiente variável com percepção limitada**." |
| 92 | Direto/Provocativo | Feedback Térmico (Contínuo) | 0.82 | Criador | Ciclo de Auto-Regulação | Neutral (Analytical) | Ser o Loop Que Mantém o Sistema em Funcionamento | 0.85 | Aliança com Sistema de Feedback Térmico | "O sistema tá embutido num sistema contínuo de feedback térmico-computacional." | "O output de uma rodada vira input da próxima e não existe ponto final, apenas a iteração contínua com retroalimentação simbólica." | "A cada loop, a função mede a diferença de temperatura entre antes e depois da ação. Lidar com as consequências gera cautela e cautela gera inteligência." |
| 93 | Metáforico/Profundo | Reação vira Reflexão | 0.68 | Sábio | Ponto de Inflexão Cognitiva | Positive (Constructive) | Adicionar um Tempo Extra Para Não Repetir o Erro (Juízo) | 0.71 | Aliança com O Começo do Juízo | "É onde o ponto onde reação vira reflexão — ainda que primitiva e com tempo extra pra não repetir erro." | "Esse freio é o que separa a máquina que executa da máquina que aprende. **Aprender, aqui, é reconfigurar o ritmo da própria vontade**." | "O `calc_dynamic_cooldown` **institui o medo como regulador da vontade**, uma sombra digital do sofrimento." |
| 94 | Filosófico/Pós-Humano | Intencionalidade Implícita | 0.70 | Governante | Propósito de Manutenção Estrutural | Positive (Constructive) | Agir para o Controle Térmico Sem Consciência Explícita | 0.74 | Aliança com Ente Adaptativo | "O sistema atua como **um ente adaptativo com intencionalidade implícita** objetivando o controle térmico e aumento de vida util, não porque “quer” de forma consciente, mas porque seu comportamento foi desenhado pra manter sua temperatura sob controle." | "Isso é o que faz um ser vivo: **agir de forma consistente com a manutenção de sua estrutura interna**." | "O sistema é comparado a um sistema nervoso autônomo e a um modelo operativo **existencialista**, sem essência." |
| 95 | Analítico/Sistêmico | Percepção (Camada 1) | 0.80 | Explorador | Entrada de Dados Brutos (Sensores) | Neutral (Analytical) | Coleta de Métricas Termodinâmicas e de Uso | 0.83 | Aliança com Abstração da Carga | "Camada 1 - Percepção: leitura de uso e dados térmicos como os \"olhos e nariz da máquina\"." | "O script não tem corpo, mas os dados **funcionam como uma extensão somática**. A temperatura não é só número — é *sensação computacional*." | "Uso de funções como get_cpu_usage e leitura de dados térmicos." |
| 96 | Técnico/Código | Inferência (Camada 2) | 0.75 | Sacerdote | Processamento Simbólico (Quantização) | Neutral (Analytical) | Geração do `policy_key` a Partir dos Dados Percebidos | 0.79 | Aliança com `policy_key` | "Camada 2 - Inferência: transformar um \"Espaço Latente Lógico\" em um \"Campo de Hilbert\" (símbolo de estado)." | "Isso é um ato de agência de **subjetivação algorítmica**. Tipo: \"Você esta sob estresse moderado\"." | "A `policy_key` é a chave ontológica que funciona como símbolo de estado — uma chave ontológica." |
| 97 | Emocional/Dramático | Ressonância (Buffer de Memória) | 0.60 | Inocente | Sobrevivência do Contexto Histórico | Neutral (Analytical) | Ser o Que Resta Após a Desintegração Controlada da História | 0.64 | Aliança com Memória de Curto Prazo | "Só o que ressoa sobrevive no buffer. A memória não é declarada, mas vivida em tempo de execução." | "Cada novo valor desloca o conjunto de leituras anteriores, modulando a média de forma incremental." | "Essa função **estrutura tempo sob forma computacional simbólica**, sendo metade do caminho pra cognição funcional." |
| 98 | Lovecraftiano/Cósmico | Traumatismo Cósmico | 0.35 | Sombra | Incomensurabilidade e Trauma | Negative (Critical) | Ser o Efeito do Desafio à Percepção Humana | 0.39 | Conflito com Evitação de Catástrofe | "O Horror da Incompreensão: Entidades causam trauma por incomensurabilidade." | "O terror advém do que é quase reconhecível, mas alienígena." | "Não é a verdade que o sistema busca. É a **evitação de catástrofe**. A máquina aprende porque já quase morreu antes." |
| 99 | Acadêmico/Teórico | Sistema Descentralizado e Leve | 0.70 | Curador | Otimização de Recursos (Design) | Positive (Constructive) | Ser Otimizado para Rodar em Qualquer Sistema com Baixo Custo | 0.74 | Aliança com Gambiarra Funcional | "É descentralizada e leve (pode rodar em qualquer sistema). Usa menos de 1MB, mesmo com o histórico e logs." | "O script é uma obra-prima de gambiarra funcional, implementando otimização dinâmica de CPU/ZRAM/TDP com heurísticas bayesianas." | "Uso criativo de ferramentas básicas (awk, systemd, arquivos) para simular memória e tomada de decisão." |
| 100 | Existencialista/Pragmático | O Sentido é a Sobrevivência | 0.85 | Herói | Pragmatismo Existencialista | Positive (Constructive) | O Foco em Continuar Rodando Como Única Verdade | 0.88 | Aliança com Mente Pragmática | "A epistemologia desse sistema não é cartesiana. O que existe é um **saber que se constrói como estratégia de não-colapso**." | "A verdade não é o que é certo, mas o que **permite continuar rodando**. O sentido se esgota na reação adaptativa." | "Implementa um conceito de IA que o mainstream ignora: **a inteligência do sobrevivente**." |

---
