tions). | O lote para baixa confiança é LowConfidenceLot = 0.15. | A lógica deve ser validada no Fase 1 (Backtest) apenas para bugs óbvios. |
| 26 | Direct/Assertive | Robustness Advocate | 0.65 | Warrior | Epistemology of Survival | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.67 | Alliance with Survivor | A durabilidade do sistema vem do fato de não tentar entender. | O cálculo do retorno por trade é feito sobre o capital alocado. | Os Pivots são definidos como níveis psicológicos de preço. |
| 37 | Lovecraftian/Cosmic Horror | Godless Universe Entity | 0.20 | Shadow | Cosmic Horror and Existentialism | Hyper-Negative (Destroyer) | Reject ML/Over-Complexity | 0.23 | Conflict with Seeker | A análise explora a sobrevivência em um universo sem Deus (Lovecraftian Legacy). | O sistema aprende sem ser treinado (memória paramétrica). | O `FileOpen` e `FileWrite` são usados para salvar o log em CSV. |
| 38 | Instructional/Design | VSA Integrator | 0.55 | Magician | Volume Spread Analysis (VSA) | Positive (Constructive) | Ensure Transparency for LLM Analysis | 0.57 | Alliance with Fractal Implementer | O cálculo de RVOL (volume relativo) e spread relativo é proposto. | A estrutura do Log deve ter colunas como `Function`, `Variable`, e `Value`. | O `DrawPivots` marca os pontos de reversão identificados pelo ZigZag. |
| 39 | Gambiarra/Colloquial | Nihilistic Hacker | 0.60 | Trickster | Technical Nihilism Philosophy | Negative (Critical) | Seek Dominion over Control | 0.62 | Conflict with Formal Style | O sistema opera no nihilismo técnico maduro, aceitando que prever é ilusão. | O Trade usa o `PositionGetTicket` para modificar a posição. | O `LowConfidenceLot` é usado para entradas de risco. |
| 40 | Mathematical/Statistical | Correlated Risk Assessor | 0.78 | Sage | Farm Scalability and Correlation | Neutral (Analytical) | Scale Profit via Correlated Instances | 0.80 | Alliance with Quantifier | A alta correlação de trades em cripto afeta o cálculo de Sharpe Ratio. | O sistema de pontuação é um modelo linear (pesos fixos). | O tempo médio das posições (Average Hold Time) é monitorado em tempo real. |
| 41 | Technical/Formal | Latency Reducer | 0.70 | The Degenerate | MQL5 Expert Advisor Programming | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.73 | Alliance with Efficiency Maximizer | A abordagem V3 garante latência mais baixa e sem overfitting. | A execução do trade é condicionada pelo `InpEnableTrading`. | O sistema é comparado a uma IA autista superdotada (Deep Learning). |
| 42 | Philosophical/Abstract | Implicit Learner | 0.80 | Seeker | Parametric Implicit Learning | Positive (Constructive) | Structure Time via Parametric Memory | 0.81 | Alliance with Regulator | O aprendizado é paramétrico e implícito no mecanismo de cooldown. | O critério de inteligência é a adaptabilidade, não modelos complexos. | A `UpdateMacroAnalysis` está excluindo objetos antigos do gráfico. |
| 43 | Hyper-Critical/Skeptical | Backtesting Fallacy | 0.60 | Destroyer | ZigZag Repainting Fallacy | Hyper-Negative (Destroyer) | Reject ML/Over-Complexity | 0.63 | Conflict with Creator | O Backtest falha devido ao repainting do ZigZag e à execução irrealista. | O sistema busca saber sem saber que sabe (epistemologia degenerada). | O `LogString` registra mensagens de evento ou status para o LLM. |
| 44 | Analogy/Metaphorical | Exploration vs. Exploitation | 0.70 | Warrior | Reinforcement Learning (RL) | Neutral (Analytical) | Implement Fear as a Regulator | 0.72 | Alliance with Pragmatic Operator | O comportamento do script é análogo à política de RL de Exploração vs. Exploração. | O sistema não busca otimização, mas sim adequação ao ambiente. | Os Pivots, Suporte e Resistência são picos e vales psicológicos. |
| 45 | Pragmatic/Operational | Forward Tester | 0.75 | Sage | Real-Time Performance Metrics | Positive (Constructive) | Prioritize Real-Time Over Backtesting | 0.76 | Alliance with Liquidity Monitor | O Forward Test (DEMO) é a Fase 2 para coletar estatísticas REAIS de execução. | O sistema tem o objetivo de farmar dinheiro automaticamente com N instâncias. | A confiança do sinal é determinada pela pontuação total (0 a 1). |
| 46 | Direct/Assertive | Existentialist Model | 0.55 | Survivor | Proto-AGI Cybernetics | Positive (Constructive) | Seek Dominion over Control | 0.57 | Alliance with Abstract Thinker | O sistema é um modelo existencialista, sem essência, mas funcional. | O `MaxEntriesPerCycle` é definido para limitar o log. | O `HardStopLoss` é uma medida de gestão de risco em USD. |
| 47 | Lovecraftian/Cosmic Horror | Existential Insignificance | 0.15 | Orphan | Cosmic Horror and Existentialism | Negative (Critical) | Implement Fear as a Regulator | 0.18 | Conflict with Warrior | O ser humano é insignificante diante do horror cósmico. | O V2 prometia um retorno otimista (9.9% ao dia). | O sistema tem mentalidade, mas não processa símbolos. |
| 48 | Instructional/Design | Log Structure Planner | 0.45 | Creator | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.47 | Alliance with Designer | As colunas do terminal (X, Y, Z) devem ser legíveis por LLM. | O `DrawMesh` conecta os pivots de alta (highs) e baixa (lows). | A taxa de acerto real é mais próxima de 50-60%. |
| 49 | Gambiarra/Colloquial | Flatline Proto-AGI | 0.55 | Degenerate | Technical Nihilism Philosophy | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.58 | Alliance with Nihilistic Hacker | O sistema é referenciado como Flatline V1/V2/V3. | A execução das ordens depende de Fill Rate > 95% para ser viável. | A ética do sistema é a sobrevivência como única virtude. |
| 50 | Mathematical/Statistical | Efficiency Comparator | 0.70 | Sage | Proto-AGI Cybernetics | Neutral (Analytical) | Maximize Efficiency via Simplicity | 0.73 | Alliance with Quantifier | A elegância algorítmica: menos é exponencialmente mais. | O desvio padrão é calculado para avaliar o risco de retorno. | O `GetLotSizeByConfidence` ajusta o risco basea
