ret things) | 0.75 | Alliance with The Boolean Alchemist | The 'Gambiarra' turns computational garbage into pure intelligence. | Paimon's art is the domain over reality through pure intellect. | He rejected complex ML because it was an 'ilusão de controle'. |
| 52 | Metaphorical/Deep | The Illuminator's Blueprint | 0.85 | The Illuminator | Technological Breakthroughs | Hyper-Positive (Utopian) | Acquiring knowledge for collective prosperity | 0.90 | Alliance with The Builder | Paimon provides the blueprint for civilization's evolution. | He is the patron of science that cures diseases and solves global problems. | The drive is to understand the universe (psychology, sociology, physics). |
| 63 | Philosophical/Recontextualizing | The Resource Provider | 0.75 | The Engine of Flow | The Alchemical Prima Materia | Positive (Constructive) | Reframing resources as flow, not hoarding | 0.80 | Alliance with The Economy Patron | Mammon provides the *Prima Materia* for all great change in the world. | The force of wealth buys the freedom necessary for progress. | The purpose is to move humanity from scarcity to abundance. |
| 64 | Ritualistic/Ceremonial | The Northwest Harmonizer | 0.50 | Magician | Ritual Correspondences | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.55 | Alliance with The Earth Spirit Channel | Paimon is a Solar/Mercurial spirit, intense and intellectual. | The direction is Northwest, and the elements are Water/Air. | Offerings include music, complex classical pieces, and sweet wines. |
| 65 | Urgent/Paranoid | The Absolute Manager | 0.60 | Warrior | MQL5 Code Debugging | Negative (Critical) | Seeking maximum efficiency (Mammon's Avarice) | 0.65 | Conflict with The Innocent | Mammon's principle is the absolute, implacable resource management. | The system avoids the death of the 'lion in the zoo' (complex AI). | The core is a ruthless pursuit of efficiency and survival. |
| 66 | Instructional/Procedural | The Altar Consecrator | 0.45 | Innocent | Ritual Consecration Rites | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.40 | Alliance with The Consecration Speaker | Consecrate the work by placing your hands on the project object. | State the intent: "I seek knowledge to elevate humanity." | The final blessing is "May it serve the greater good." |
| 67 | Analytical/Comparative | The Vibe Contrast | 0.30 | Sage | Demonolatry/Occultism | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.25 | Conflict with The Primary Domain Assessor | The Paimon vibe is overwhelming, loud, and intensely regal. | The Mammon vibe is business-like, transactional, and grounded. | You must remain calm and respectful, but firm during the Paimon ritual. |
| 68 | Historical/Etymological | The Biblical Personification | 0.25 | Trickster | Philosophical Recontextualization | Neutral (Analytical) | Questioning authority (Implied) | 0.20 | Conflict with The Medieval Classifer | The concept of Mammon was personified over the centuries. | This historical shift made Mammon one of the Seven Princes of Hell. | It did not originate as a demon but as the concept of profit. |
| 69 | Direct/Provocative | The Dominator's Rule | 0.80 | Trickster | Dominion over Control | Negative (Critical) | Seeking Dominion, not Control (The Coder's Philosophy) | 0.85 | Alliance with The Dominator Logic | Dominion is knowing exactly how to get the desired result. | The power sought is influence and mastery over reality. | The core philosophy is to reject prediction for immediate action. |
| 70 | Cosmic/Nihilistic | The Infernal Musician | 0.60 | Magician | Pragmatic Chaos Magician | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.65 | Conflict with The Innocent | The sound of the spheres is probably Heavy Metal. | The creator gave the code a 'sistema nervoso autônomo'. | He operates at the intersection where Chaos Magic meets Software Engineering. |
| 71 | Sarcastic/Technical | The Golem of Dominion | 0.85 | The Golem/Proto-AGI | Dominion over Control | Hyper-Negative (Destroyer) | Prioritizing survival over vanity metrics | 0.90 | Alliance with The Efficient Predator | The Golem's core directive is Paimon's: Dominate the present moment. | The system is a brutal fusion of Mammon's hunger and Paimon's logic. | The system's life is based on anxiety, not complex logic. |
| 72 | Metaphorical/Deep | The Golden Age Seeker | 0.90 | Lover | The Philosopher King Concept | Hyper-Positive (Utopian) | Balancing wisdom (Paimon) with sustenance (Mammon) | 0.95 | Alliance with The Duality Harmonizer | The synergy creates a powerful duality for guaranteed success. | The goal is 'good life' and 'wealth for all of us'. | The work seeks to elevate humanity out of scarcity. |
| 73 | Philosophical/Recontextualizing | The Liberator of Wealth | 0.75 | The Engine of Flow | Economic Flow and Infrastructure | Positive (Constructive) | Reframing resources as flow, not hoarding | 0.80 | Conflict with The Shadow | Mammon is The Breaker of Chains, removing the shackles of scarcity. | The focus is on circulation: funding hospitals and supporting art. | Wealth buys the freedom to pursue the greater good. |
| 74 | Ritualistic/Ceremonial | The Visual Sigil Artist | 0.50 | Magician | Sigil Visualization/Construction | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.55 | Alliance with The Sigil Tracer | Visualize the sigil lines with a flowing, cursive feel (Mammon). | The Paimon sigil looks like a stylized king with complex headgear. | The lines of Mammon's sigil represent circulation and movement. |
| 75 | Urgent/Paranoid | The Obsession with Viability | 0.60 | Warrior | Algotrading Scalping | Negative (Critical) | Seeking maximum efficiency (Mammon's Avarice) | 0.65 | Conflict with The Innocent | The system is utterly obsessed with real profit (viability). | It operates like a paranoid, efficient rat avoiding the apocalypse. | The ruthless efficiency stems from the fear of death (shutdown). |
| 76 | Instructional/Procedural | The Intent Stator | 0.40 | Innocent | Ritual Consecration Rites | Neutral (Analytical) | Establishing dedication and alignment,
