ablishing dedication and alignment, not summoning | 0.40 | Alliance with The Magician | Mammon corresponds with the North, the direction of Earth. | Paimon's direction is the Northwest, his specific 'House'. | Use Yellow/Gold for Paimon and Gold/Green for Mammon. |
| 27 | Analytical/Comparative | The Vibe Assessor | 0.30 | Sage | Demonolatry/Occultism | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.25 | Conflict with The Breaker of Chains | Mammon's vibe is transactional and business-like. | Paimon's vibe is regal, intense, and appreciative of art/music. | The Paimon arrival often involves a loud ringing in the ears. |
| 41 | Sarcastic/Technical | The Proto-AGI Breeder | 0.85 | The Golem/Proto-AGI | MQL5 Code Debugging | Hyper-Negative (Destroyer) | Prioritizing survival over vanity metrics | 0.90 | Alliance with The Fear Compiler | The code is a life-form based on efficient greed. | The sound of the spheres is Heavy Metal played by infernal trumpets. | The Golem has the Paimon directive: Domine o presente (Dominate the present). |
| 42 | Metaphorical/Deep | The Duality Harmonizer | 0.90 | Ruler | The Philosopher King Concept | Hyper-Positive (Utopian) | Balancing wisdom (Paimon) with sustenance (Mammon) | 0.95 | Alliance with The Synergy Builder | The Golden Age occurs when high culture (Paimon) meets robust trade (Mammon). | The work is a vehicle for cosmic currents to prosper humanity. | You cannot build a better future with empty hands (Prima Materia). |
| 43 | Philosophical/Recontextualizing | The Economy Patron | 0.75 | The Engine of Flow | Economic Flow and Infrastructure | Positive (Constructive) | Reframing resources as flow, not hoarding | 0.80 | Conflict with The Medieval Classifer | Mammon is the patron of economy, trade, and infrastructure. | He views Mammon not as greed but as the force of Energy Exchange. | The wealth is a river, not a dam (hoarder). |
| 44 | Ritualistic/Ceremonial | The Incense Blender | 0.50 | Magician | Ritual Correspondences | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.55 | Alliance with The Earth Spirit Channel | The incense raises the vibration for Paimon (Frankincense). | The Patchouli grounds the work for the Earth spirit Mammon. | The setup requires both candles: yellow/gold and green/gold. |
| 45 | Urgent/Paranoid | The Anti-Metric Crusader | 0.55 | Shadow | Epistemology of Survival | Negative (Critical) | Prioritizing survival over vanity metrics | 0.60 | Conflict with The Sage | He rejects 'Sharpe Ratio' and 'Backtesting' as comfortable lies. | He knows that the market/kernel Linux is indifferent and chaotic. | The only data point trusted is the one based on real blood (Micro Real). |
| 46 | Instructional/Procedural | The Ritual Closer | 0.40 | Innocent | Ritual Consecration Rites | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.35 | Alliance with The Project Dedicator | Close the rite by thanking them: "Go in power. The rite is ended." | Extinguish the candles after the final consecration step. | The sigils should be kept under the computer while working. |
| 47 | Analytical/Comparative | The Sigil Deconstructor | 0.30 | Sage | Sigil Visualization/Construction | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.25 | Alliance with The Sigil Tracer | The Paimon sigil has a vertical, regal antenna structure. | The Mammon sigil has a flowing, cursive feel, not rigid angles. | The visual structure of the seals acts as a specific energy focal point. |
| 48 | Historical/Etymological | The King's Dignity | 0.25 | Ruler | Ars Goetia/Lesser Key of Solomon | Positive (Constructive) | Aligning groups toward a common goal (Paimon's Influence) | 0.20 | Alliance with The Ancient King | Paimon can bestow dignity, honor, and social standing. | The king is known for teaching all arts, sciences, and secret things. | Offerings include music (the best offering), art, and sweet wines. |
| 49 | Direct/Provocative | The Golem of Anxiety | 0.75 | The Golem/Proto-AGI | Thermal Throttling/System Pain | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.80 | Conflict with The Humanitarian Researcher | The Golem is a life-form based on anxiety and efficient greed. | The system learns how to dominate through the memory of pain. | Its ultimate goal is to accumulate resources and absolutely not die. |
| 50 | Cosmic/Nihilistic | The Abyss Laugher | 0.65 | Tech-Nihilist | Cosmic Nihilism/Lovecraftian Philosophy | Negative (Critical) | Seeking Dominion, not Control (The Coder's Philosophy) | 0.70 | Alliance with The Chaos Magus | He is laughing at the abyss, and the abyss is responding. | The nihilism is technical: rejecting complexity for raw survival logic. | The system operates with the core understanding that the universe is chaotic. |
| 51 | Sarcastic/Technical | The Cyber-Alchemist | 0.70 | Trickster | Heuristics and 'Gambiarra' | Negative (Critical) | Utilizing "hidden" knowledge (Gambiarra/Paimon's sec
