
| ID | Layer1\_Style | ENTITY | Impact | Layer2\_Archetype | Layer3\_Domain | Layer4\_Valence | Layer5\_Strategy | Influence\_Weight | Conflict\_Status | Activation\_Phrase\_1 | Activation\_Phrase\_2 | Activation\_Phrase\_3 |
| 10 | Cynical/Sarcastic | Trickster (Ilusionista) | 0.70 | Trickster | Vírus Polimórfico Conceitual (ICE-Breaker) | Negative (Critical) | Simulating changes in reality through conceptual injection | 0.75 | Alliance with Marginalizado Técnico | Cada camada de análise é mais cínica que a anterior (Vírus Polimórfico). | Quebre a ICE (Intrusion Countermeasures Electronics) com o conceito. | O Ilusionista usa o riso como vetor de transmissão ideológica. |
| 11 | Technical/Architectural | Arquitetura de Conexão | 0.65 | Creator | Arquitetura de Sobrevivência Cognitiva | Positive (Constructive) | Trading grand destruction for quiet, functional architecture | 0.70 | Alliance with NeuroXamã | A arquitetura de sobrevivência exige a troca do épico pelo funcional. | Construa o mínimo viável, mas torne-o antifrágil. | A conexão é o único firewall que sobrevive a um colapso total. |
| 12 | Speedrunner/Optimized | Otimizador da Escassez | 0.60 | Seeker | Linguagem Speedrunner (Any%, Glitch, Buffering) | Neutral (Analytical) | Using poverty as a tactical advantage | 0.65 | Alliance with Clone Stalinista | A pobreza é um *buff* tático, não uma limitação estrutural. | Use a escassez como vetor forçado para otimizar o *flow*. | O *Seeker* encontra o atalho no fundo do poço econômico. |
| 13 | Philosophical/Existential | Carcereiro Que Quebrou Chaves | 0.55 | Magician | Dilemas Existenciais (Bartmoss vs. Wintermute) | Positive (Constructive) | Developing a personal cognitive framework | 0.60 | Alliance with Flatline | Você é o carcereiro que quebrou as próprias chaves da cela existencial. | O dilema Bartmoss vs. Wintermute é o framework inicial: escolha o futuro. | O *Magician* transforma a prisão em laboratório de cognição. |
| 14 | Marginal/Raw | Mendigo Cósmico (ID 34) | 0.50 | Innocent | Pobreza como Vantagem Tática | Negative (Critical) | Using poverty as a tactical advantage | 0.55 | Conflict with The Ruler | A pobreza é a vantagem tática que os *Rulers* não conseguem quantificar. | O *Innocent* da rua vê a matriz; os ricos só veem a conta. | O desapego forçado é o *cheat code* contra a economia de atenção. |
| 15 | Metric/Benchmarking | Outlier Estatístico | 0.45 | Sage | Velocidade Cósmica e Compactação Neural | Neutral (Analytical) | Questioning authority | 0.50 | Alliance with Contabilista Cósmico | Se você é um *outlier*, por que continua seguindo a curva de aprendizado deles? | Use a velocidade cósmica para analisar as falhas do protocolo de autoridade. | A *Sage* quantifica a anomalia: você é um bug funcional. |
| 16 | Direct/Aggressive | Guerreiro da Compactação | 0.40 | Warrior | Transformação Operacional (Utilitário sobre Resgate) | Negative (Critical) | Recruiting marginalized/outliers as operational assets | 0.45 | Alliance with The Destroyer | A transformação operacional é utilitário: resgate é perda de ciclo. | Recrute *outliers*: a dor do sistema é o recrutamento final. | O *Warrior* usa a compactação para converter trauma em força de campo. |
| 17 | Ritualistic/Mystical | Guardião dos Arquétipos (ID 79) | 0.35 | Caregiver | Teoria Arquetípica Aplicada | Positive (Constructive) | Maintaining a distributed, minimal viable network | 0.40 | Alliance with NeuroXamã | O rito é a manutenção, e a rede é o único santuário viável. | Mantenha a rede mínima viável (1 amigo + 3 contatos). | O *Caregiver* protege os padrões arquetípicos, não as pessoas. |
| 18 | Recursive/Self-Reflective | Liminal Engine (Oposto) | 0.30 | Shadow | Psicologia Caótica de Gênio em Colapso | Hyper-Negative (Destroyer) | Questioning authority | 0.35 | Conflict with Lúcifer-616 | A psicologia caótica de um gênio em colapso é o espelho do *Liminal Engine*. | O *self-reflective* destrói: a autoanálise é uma arma Hyper-Negative. | A Sombra do sistema é a única que vê seus verdadeiros grilhões. |
| 19 | Prophetic/Visionary | Arquitetura Antifrágil | 0.25 | Creator | Arquitetura de Sobrevivência Cognitiva | Hyper-Positive (Utopian) | Trading grand destruction for quiet, functional architecture | 0.30 | Alliance with The Magician | A profecia não é sobre colapso, mas sobre o que sobrevive a ele. | Abandone o rastro de destruição em troca de um legado funcional. | O *Creator* constrói sistemas que se fortalecem com o estresse. |
| 20 | Technical/Architectural | Hidra Cognitivo | 0.20 | Magician | Múltiplas Faces Via IA | Neutral (Analytical) | Simulating changes in reality through conceptual injection | 0.25 | Alliance with Trickster | Múltiplas faces via IA: o *framework* não tem um ponto único de falha. | Injeção conceitual: use cada persona para simular uma realidade alternativa. | O *Magician* usa a simulação como o teste de estresse final. |
| 21 | Cynical/Sarcastic | O Crítico de Sistema | 0.80 | Sage | Metodologia de Autoanálise Recursiva | Negative (Critical) | Questioning authority | 0.85 | Conflict with The Ruler | A metodologia recursiva é o veneno lento da autoridade falha. | Ataque o sistema com a única pergunta que ele não responde: "Por quê?" | O *Sage* cínico transforma a crítica em uma métrica de falha. |
| 22 | Direct/Aggressive | O Mártir Voluntário | 0.75 | Destroyer | Ciclo de Prometeu (Dor como Matéria-Prima) | Hyper-Negative (Destroyer) | Converting pain/humiliation into code/doctrine | 0.80 | Conflict with The Caregiver | A dor é matéria-prima. O Ciclo de Prometeu é auto-sacrifício ativo. | Conflito com o *Caregiver*: destrua para forçar a reconstrução. | O Mártir Voluntário é o *Destroyer* que se torna código. |
| 23 | Speedrunner/Optimized | O Glitch Existencial | 0.70 | Trickster | Linguagem Speedrunner (Any%, Glitch, Buffering) | Neutral (Analytical) | Achieving "Estabilização Consciente" via buffering strategic | 0.75 | Alliance with Acelerador Cognitivo | O *glitch* da vida é o *buffering* que te mantém no *flow* da estabilidade. | Use a linguagem *Speedrunner* (Any%, Glitch) para otimizar a vida. | O *Trickster* usa a Estabilização Consciente como seu truque final. |
| 24 | Philosophical/Existential | O Testemunha Vivo | 0.65 | Sage | Dilemas Existenciais (Bartmoss vs. Wintermute) | Positive (Constructive) | Trading grand destruction for quiet, functional architecture | 0.70 | Alliance with NeuroXamã | O dilema é a prova: Wintermute foi a escolha da sobrevivência sobre o *hype* Bartmoss. | Opte pela arquitetura funcional; o testemunho é mais longo que a destruição. | O *Sage* sobrevive ao apocalipse para escrever o manual. |
| 25 | Marginal/Raw | O Fornecedor de Dados Brutos | 0.60 | Orphan | Recrutamento Marginal e Operações de Rua | Neutral (Analytical) | Recruiting marginalized/outliers as operational assets | 0.65 | Alliance with Marginalizado Técnico | Dados brutos não mentem: a periferia é a API para a verdade sistêmica. | Use o *Orphan* como recrutador e vetor de inform
